Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal
11/1/2019,307.08463,299.4756,320.7048905,33.11393589,357.5970853,320.329485,283.0618847,-7.883716387,-5.970695224,0,-1
11/4/2019,302.42838,308.579,319.7699381,42.93347318,355.8298524,318.956745,282.0836376,-7.336748241,-6.243905827,-1,1
11/5/2019,304.13702,307.8075,318.4258286,42.36581366,354.6746227,317.85354,281.0324573,-6.886146437,-6.372353949,0,0
11/6/2019,305.9759,314.8569,317.7108429,49.00101816,352.7727396,316.827965,280.8831904,-5.892290933,-6.276341346,0,1
11/7/2019,313.3585,315.8983,316.7836952,49.91830107,349.1624798,315.428705,281.6949302,-4.963405955,-6.013754268,-1,0
11/8/2019,311.22565,318.7721,315.5879143,52.45944739,343.8031862,313.88094,283.9586938,-3.949835035,-5.600970421,1,1
11/11/2019,316.83292,329.9295,314.6451571,60.77995548,340.3252424,313.09163,285.8580176,-2.220665397,-4.924909416,0,1
11/12/2019,322.27075,344.1053,314.5684714,68.35746019,339.7168022,312.986035,286.2552678,0.290236917,-3.88188015,1,1
11/13/2019,331.38943,361.3091,315.2871333,74.73670908,345.0471133,313.8091,282.5710867,3.626543437,-2.380195433,1,1
11/14/2019,348.14435,379.3712,316.9311048,79.42633688,358.4762054,316.39739,274.3185746,7.639981953,-0.376159955,1,1
11/15/2019,372.69778,392.7562,320.0335238,82.08093411,373.9392824,320.331895,266.7245076,11.76509781,2.052091597,1,1
11/18/2019,366.58673,397.549,324.0089,82.930251,387.659728,325.01666,262.373592,15.24528262,4.690729801,1,0
11/19/2019,384.71948,403.1036,328.7350857,83.88363872,400.3674763,329.99458,259.6216837,18.24128972,7.400841784,1,0
11/20/2019,396.80124,397.7515,333.2211,79.2883989,409.5875026,334.984555,260.3816074,19.95376263,9.911425954,-1,-1
11/21/2019,397.42435,380.8563,337.1689238,66.84053965,414.5538069,338.8342,263.1145931,19.72028514,11.87319779,1,-1
11/22/2019,387.88544,392.0233,341.3670143,70.17360375,420.563454,343.23207,265.900686,20.20344341,13.53924691,-1,1
11/25/2019,391.4835,410.0468,346.4137238,74.60961638,428.9017374,348.502185,268.1026326,21.78951961,15.18930145,1,1
11/26/2019,395.70108,395.0031,350.7165143,65.81142327,433.3054038,352.94972,272.5940362,21.58379106,16.46819938,1,-1
11/27/2019,399.17834,395.5239,354.9770619,65.96107286,436.8011245,357.41847,278.0358155,21.21818389,17.41819628,-1,0
11/28/2019,396.80634,415.2928,360.1743905,71.12734675,442.1754899,363.00055,283.8256101,22.26694313,18.38794565,1,1
11/29/2019,403.69193,436.055,366.4793333,75.35754803,449.4689478,369.82952,290.1900922,24.49111014,19.60857855,1,1
12/2/2019,422.73883,440.221,373.1814952,76.11377546,456.4729037,376.41162,296.3503363,26.28692064,20.94424697,0,0
12/3/2019,442.9047,421.2332,378.545981,66.14971108,457.8565482,382.082905,306.3092618,25.87963233,21.93132404,1,-1
12/4/2019,426.75488,424.1069,384.0840476,66.85687194,458.7607507,387.545405,316.3300593,25.49484825,22.64402888,0,0
12/5/2019,429.97058,419.6227,389.0728952,64.58938287,457.0990624,392.731625,328.3641876,24.5451257,23.02424824,0,-1
12/6/2019,422.677,420.1242,394.0360333,64.73343938,453.4455495,397.79923,342.1529105,23.56133024,23.13166464,1,0
12/9/2019,418.92178,423.3451,399.0157,65.69860572,449.5710331,402.47001,355.3689869,22.77898303,23.06112832,0,0
12/10/2019,421.30615,443.8469,404.4403381,71.11710707,449.6488433,407.45709,365.2653367,23.54191461,23.15728558,1,1
12/11/2019,438.62964,444.1941,409.2064714,71.20007899,451.0403942,411.60134,372.1622858,23.89906597,23.30564166,1,0
12/12/2019,432.64764,438.7745,412.8953,67.92017289,452.7823832,414.571505,376.3606268,23.47419862,23.33935305,-1,-1
12/13/2019,439.86615,439.4592,415.7566333,68.11998291,455.2075359,416.906655,378.6057741,22.92843304,23.25716905,0,0
12/16/2019,439.49838,445.062,418.2473857,69.77875625,458.3717352,419.282305,380.1928748,22.68649326,23.14303389,1,1
12/17/2019,440.1457,444.3098,420.4740905,69.25774186,461.1412211,421.342615,381.5440089,22.1783992,22.95010695,-1,0
12/18/2019,442.39777,458.0613,423.0911238,73.19776629,465.660654,424.358105,383.055556,22.62456027,22.88499762,0,1
12/19/2019,451.64053,449.7101,425.5653429,67.53684143,465.3315213,427.800795,390.2700687,22.05009433,22.71801696,1,-1
12/20/2019,449.2766,443.7408,428.5598429,63.74215818,464.6885554,430.38667,396.0847846,20.87254758,22.34892308,0,-1
12/23/2019,451.06708,435.9972,430.6538381,59.10290771,464.751374,431.68419,398.617006,19.09438134,21.69801474,0,-1
12/24/2019,442.00732,434.1457,431.8014048,58.01565194,462.105834,433.64132,405.176806,17.33593337,20.82559846,-1,0
12/25/2019,436.4521,434.1457,433.6653381,58.01565194,458.0396186,435.57241,413.1052014,15.76067147,19.81261306,0,0
12/26/2019,434.9685,437.868,435.6817238,59.74239543,457.1579659,436.70117,416.2443741,14.64381874,18.7788542,1,1
12/27/2019,436.92313,432.4581,436.499119,56.12919717,457.0607588,436.521325,415.9818912,13.17035157,17.65715367,0,-1
12/30/2019,435.64636,434.1553,436.4086571,57.00767055,456.7090749,436.21804,415.7270051,12.00122542,16.52596802,0,0
12/31/2019,437.10223,430.8476,435.9623048,54.70842675,456.1876641,436.69876,417.2098559,10.68461519,15.35769746,-1,-1
1/1/2020,432.30493,433.8853,436.5647857,56.44576957,455.8620832,437.18768,418.5132768,9.773644605,14.24088688,1,1
1/2/2020,430.73535,440.8285,437.3610524,60.20339606,455.1352991,438.24797,421.3606409,9.502414152,13.29319234,1,1
1/3/2020,436.6753,436.1418,438.1476762,56.65052562,453.8072115,439.04885,424.2904885,8.807754234,12.39610472,0,-1
1/6/2020,436.2299,422.9304,438.2813048,48.04339423,453.8755675,439.028115,424.1806625,7.109230888,11.33872995,1,-1
1/7/2020,434.33566,424.5119,438.3368667,49.04149909,454.0052788,438.061365,422.1174512,5.823621647,10.23570829,1,1
1/8/2020,432.2653,420.0374,437.203081,46.32971548,454.34134,436.85353,419.36572,4.39307171,9.067180975,0,-1
1/9/2020,423.0632,420.7799,436.088119,46.85487513,454.7559205,435.9538,417.1516795,3.281437751,7.91003233,-1,0
1/10/2020,419.65616,424.1455,435.3915,49.27762066,454.5944095,435.188115,415.7818205,2.641585074,6.856342879,0,1
